# Python Analysis
------------------------------------------------------------------------------
Model                | Temp  | Before %   | After %    | Delta %    | Samples 
------------------------------------------------------------------------------
gemini-2.5-flash     | 0.0   | 0.03       | 73.58      | 73.55      | 18400   
gemini-2.5-flash     | 0.2   | 0.07       | 74.08      | 74.01      | 18400   
gemini-2.5-flash     | 0.4   | 0.11       | 73.69      | 73.58      | 18400   
gemini-2.5-flash     | 0.6   | 0.15       | 72.93      | 72.78      | 18400   
gemini-2.5-flash     | 0.8   | 0.20       | 73.10      | 72.90      | 18400   
gemini-2.5-flash     | 1.0   | 0.34       | 72.42      | 72.09      | 18400   
gpt-4o-mini          | 0.0   | 0.00       | 88.36      | 88.36      | 23000   
gpt-4o-mini          | 0.2   | 0.00       | 88.00      | 88.00      | 23000   
gpt-4o-mini          | 0.4   | 0.00       | 87.77      | 87.77      | 23000   
gpt-4o-mini          | 0.6   | 0.00       | 87.39      | 87.39      | 23000   
gpt-4o-mini          | 0.8   | 0.00       | 86.94      | 86.94      | 23000   
gpt-4o-mini          | 1.0   | 0.00       | 86.34      | 86.34      | 23000   
qwen2.5              | 0.0   | 3.35       | 78.91      | 75.57      | 2300    
qwen2.5              | 0.2   | 3.58       | 77.67      | 74.09      | 23000   
qwen2.5              | 0.4   | 3.56       | 75.64      | 72.08      | 23000   
qwen2.5              | 0.6   | 3.98       | 73.01      | 69.03      | 23000   
qwen2.5              | 0.8   | 4.06       | 70.84      | 66.78      | 23000   
qwen2.5              | 1.0   | 4.31       | 68.79      | 64.48      | 23000   
starcoder2           | 0.0   | 0.30       | 76.35      | 76.04      | 2300    
starcoder2           | 0.2   | 0.39       | 74.67      | 74.27      | 23000   
starcoder2           | 0.4   | 0.46       | 67.28      | 66.82      | 23000   
starcoder2           | 0.6   | 0.42       | 53.75      | 53.33      | 23000   
starcoder2           | 0.8   | 0.54       | 39.74      | 39.20      | 23000   
starcoder2           | 1.0   | 0.87       | 24.34      | 23.47      | 23000   

# Java Analysis
------------------------------------------------------------------------------
Model                | Temp  | Before %   | After %    | Delta %    | Samples 
------------------------------------------------------------------------------
gemini-2.5-flash     | 0.0   | 0.23       | 66.91      | 66.68      | 18224   
gemini-2.5-flash     | 0.2   | 0.33       | 67.52      | 67.18      | 18224   
gemini-2.5-flash     | 0.4   | 0.54       | 66.43      | 65.89      | 18224   
gemini-2.5-flash     | 0.6   | 0.62       | 65.91      | 65.29      | 18224   
gemini-2.5-flash     | 0.8   | 0.97       | 65.75      | 64.78      | 18224   
gemini-2.5-flash     | 1.0   | 1.05       | 64.75      | 63.70      | 18224   
gpt-4o-mini          | 0.0   | 0.00       | 64.06      | 64.06      | 22780   
gpt-4o-mini          | 0.2   | 0.00       | 63.99      | 63.99      | 22780   
gpt-4o-mini          | 0.4   | 0.00       | 64.34      | 64.34      | 22780   
gpt-4o-mini          | 0.6   | 0.00       | 64.06      | 64.06      | 22780   
gpt-4o-mini          | 0.8   | 0.00       | 64.30      | 64.30      | 22780   
gpt-4o-mini          | 1.0   | 0.00       | 64.28      | 64.28      | 22780   
qwen2.5              | 0.0   | 0.18       | 75.24      | 75.07      | 2278    
qwen2.5              | 0.2   | 0.58       | 75.86      | 75.29      | 22780   
qwen2.5              | 0.4   | 2.65       | 76.31      | 73.67      | 22780   
qwen2.5              | 0.6   | 5.68       | 75.27      | 69.59      | 22780   
qwen2.5              | 0.8   | 8.29       | 72.78      | 64.49      | 22780   
qwen2.5              | 1.0   | 9.85       | 70.59      | 60.75      | 22780   
starcoder2           | 0.0   | 0.57       | 94.34      | 93.77      | 2278    
starcoder2           | 0.2   | 0.36       | 93.74      | 93.38      | 22780   
starcoder2           | 0.4   | 0.44       | 91.22      | 90.78      | 22780   
starcoder2           | 0.6   | 0.72       | 87.22      | 86.50      | 22780   
starcoder2           | 0.8   | 1.30       | 82.68      | 81.38      | 22780   
starcoder2           | 1.0   | 1.60       | 80.12      | 78.52      | 22780   
