language_family,gemini-2.5-flash,gpt-4o-mini,qwen2.5,starcoder2
Afro-Asiatic,12.23±10.96,18.37±2.09,16.02±3.46,1.69±1.19
Austro-Asiatic,12.68±9.90,18.56±2.01,15.17±4.68,3.01±1.56
Austronesian,15.66±6.14,20.31±1.79,17.45±3.33,1.72±1.26
Indo-European (Germanic),14.82±8.05,19.03±1.58,17.38±4.35,2.44±1.79
Indo-European (Greek),18.84±1.81,18.34±1.86,16.91±3.68,1.70±0.90
Indo-European (Iranian),18.05±9.08,18.19±1.05,14.05±3.21,0.71±0.44
Indo-European (Romance),17.32±4.40,19.15±1.87,16.98±3.48,2.36±1.56
Sino-Tibetan,16.18±2.58,19.64±1.60,17.55±3.44,1.31±1.06
Slavic,18.30±2.13,17.77±2.26,17.34±3.57,2.33±1.59
Turkic,3.22±7.88,21.26±1.82,15.53±4.31,3.00±2.03
Uralic,13.42±8.85,19.74±2.45,15.57±3.34,1.75±1.15
